"lang"
{
	"Language"	"Russian"

"DOTA_Tooltip_modifier_serega_pirat_bike_cast"								"Разгон на байке"
"DOTA_Tooltip_modifier_serega_pirat_bike_cast_Description"					"Заводит байк"

"DOTA_Tooltip_modifier_serega_pirat_bike_charge"							"Разгон на байке"
"DOTA_Tooltip_modifier_serega_pirat_bike_charge_Description"				"Сбивает противников на своем пути"

"DOTA_Tooltip_modifier_serega_pirat_bike_debuff"							"Разгон на байке"
"DOTA_Tooltip_modifier_serega_pirat_bike_debuff_Description"				"Вас сбил Серега Пират"

"DOTA_Tooltip_modifier_serega_pirat_tilt"									"Тильт"
"DOTA_Tooltip_modifier_serega_pirat_tilt_Description"						"С быстрой скоростью наносит атаки по ближайшему противнику"

"DOTA_Tooltip_modifier_serega_pirat_radiance_debuff"						"Radiance"
"DOTA_Tooltip_modifier_serega_pirat_radiance_debuff_Description"			"Скорость передвижения замедлена на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%"

"DOTA_Tooltip_modifier_serega_pirat_tp_active"								"ТП"
"DOTA_Tooltip_modifier_serega_pirat_tp_active_Description"					"Невидим. Следующая атака из невидимости нанесет %dMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE% урона"

"DOTA_Tooltip_ability_special_bonus_birzha_serega_pirat_1"					"+{s:value} макс. дистанции Разгон на байке"
"DOTA_Tooltip_ability_special_bonus_birzha_serega_pirat_2"					"+{s:value} сек. длительности оглушения Разгон на байке"
"DOTA_Tooltip_ability_special_bonus_birzha_serega_pirat_3"					"-{s:value} сек. перезарядки Radiance на АМ"
"DOTA_Tooltip_ability_special_bonus_birzha_serega_pirat_4"					"+{s:value} сек. длительности невидимости ТП на АМ"
"DOTA_Tooltip_ability_special_bonus_birzha_serega_pirat_5"					"Иллюзия после использования ТП на АМ"
"DOTA_Tooltip_ability_special_bonus_birzha_serega_pirat_6"					"+{s:value}% замедления Radiance на АМ"
"DOTA_Tooltip_ability_special_bonus_birzha_serega_pirat_7"					"Иллюзия не исчезает после удара ТП на АМ"
"DOTA_Tooltip_ability_special_bonus_birzha_serega_pirat_8"					"+{s:value} дальности атаки Тильт"

//=================================================================================================================
// Queen Of Pain | Куруми | Kurumi
//=================================================================================================================

"npc_dota_hero_queenofpain" 	"Куруми"

"DOTA_Tooltip_ability_Kurumi_eight_bullet"								"Восьмая пуля, Хет"
"DOTA_Tooltip_ability_Kurumi_eight_bullet_Description"					"Куруми создает своих клонов которые обладают такой же силой как и она. Через %delay% сек. в случайных точках указанной области появляются сама Куруми, ее клоны, а также два новых клона с разными характеристиками. Продлевает время жизни всех клонов.\n\nТИП РАЗВЕИВАНИЯ: нормальное"
"DOTA_Tooltip_ability_Kurumi_eight_bullet_Lore"							"Данный герой создан благодаря <font color='#fffc00'>Kw1te</font>"
"DOTA_Tooltip_ability_Kurumi_eight_bullet_dmg_tooltip"					"%УРОН КЛОНОВ:"
"DOTA_Tooltip_ability_Kurumi_eight_bullet_target_aoe"					"ВЕЛИЧИНА ОБЛАСТИ ПРИМЕНЕНИЯ:"
"DOTA_Tooltip_ability_Kurumi_eight_bullet_search_radius"				"ДАЛЬНОСТЬ СБОРА КЛОНОВ:"	
"DOTA_Tooltip_ability_Kurumi_eight_bullet_illusion_duration"			"ВРЕМЯ ЖИЗНИ КЛОНОВ:"
"DOTA_Tooltip_ability_Kurumi_eight_bullet_illusion_extended_duration"	"УВЕЛИЧЕНИЕ ДЛИТЕЛЬНОСТИ КЛОНОВ:"
"DOTA_Tooltip_ability_Kurumi_eight_bullet_Note0"						"Сбивает с цели летящие в героя снаряды, а также снимает с него отрицательные эффекты."
"DOTA_Tooltip_ability_Kurumi_eight_bullet_Note1"						"Уничтожает деревья в области появления."

"DOTA_Tooltip_ability_Kurumi_god"										"Неуязвимость"
"DOTA_Tooltip_ability_Kurumi_god_Description"							"Куруми игнорирует весь входящий урон"
"DOTA_Tooltip_ability_Kurumi_god_duration"								"ДЛИТЕЛЬНОСТЬ:"
"DOTA_Tooltip_ability_Kurumi_god_lore"									"Данный герой создан благодаря <font color='#fffc00'>Kw1te</font>"

"DOTA_Tooltip_modifier_kurumi_god"										"Неуязвимость"
"DOTA_Tooltip_modifier_kurumi_god_Description"							"Игнорирует весь входящий урон"

"DOTA_Tooltip_ability_Kurumi_Absorption"								"Абсорбция"
"DOTA_Tooltip_ability_Kurumi_Absorption_Description"					"Наносит урон текущей цели.\n<h1>Бонус за убийство</h1> Использование способности накладывает на противника эффект, который действует %kill_duration% сек. Если Куруми убьет врага под этим эффектом, то навсегда увеличит урон способности на %damage_per_kill% и восстановит ей %mana_restore% маны"
"DOTA_Tooltip_ability_Kurumi_Absorption_damage"							"УРОН:"
"DOTA_Tooltip_ability_Kurumi_Absorption_lore"							"Данный герой создан благодаря <font color='#fffc00'>Kw1te</font>"

"DOTA_Tooltip_ability_Kurumi_Zafkiel"									"Седьмая пуля: Заин"
"DOTA_Tooltip_ability_Kurumi_Zafkiel_Description"						"Останавливает время и получает вампиризм на время действия способности. Любой урон полученный противниками будет нанесен по окончанию действия способности, все убийства будут засчитаны Куруми"
"DOTA_Tooltip_ability_Kurumi_Zafkiel_duration"							"ДЛИТЕЛЬНОСТЬ:"
"DOTA_Tooltip_ability_Kurumi_Zafkiel_lifesteal"							"%ВАМПИРИЗМ:"
"DOTA_Tooltip_ability_Kurumi_Zafkiel_lore"								"Данный герой создан благодаря <font color='#fffc00'>Kw1te</font>"

"DOTA_Tooltip_modifier_kurumi_zafkiel_aura"								"Седьмая пуля: Заин"
"DOTA_Tooltip_modifier_kurumi_zafkiel_aura_Description"					"Время остановлено"

"DOTA_Tooltip_modifier_kurumi_zafkiel"									"Время остановлено"
"DOTA_Tooltip_modifier_kurumi_zafkiel_Description"						"Оглушение"

"DOTA_Tooltip_ability_Kurumi_scepter"									"1 пуля, Алеф/2 пуля, Бет"
"DOTA_Tooltip_ability_Kurumi_scepter_Description"						"Куруми стреляет магической пулей в цель.<br><br>Если целью выбран союзник, его скорость передвижения становится %movespeed_ally% на %duration% сек. и его нельзя замедлить<br><br>Если целью выбран противник, его скорость передвижения становится %movespeed_enemy% на %duration% сек."
"DOTA_Tooltip_ability_Kurumi_scepter_lore"	"Данный герой создан благодаря <font color='#fffc00'>Kw1te</font>"

"DOTA_Tooltip_modifier_kurumi_scepter_buff"									"1 пуля, Алеф/2 пуля, Бет"
"DOTA_Tooltip_modifier_kurumi_scepter_buff_Description"						"Скорость передвижения %dMODIFIER_PROPERTY_MOVESPEED_ABSOLUTE%"

"DOTA_Tooltip_modifier_Kurumi_Absorption_buff"								"Абсорбция"
"DOTA_Tooltip_modifier_Kurumi_Absorption_buff_Description"					"Урон способности увеличен на %dMODIFIER_PROPERTY_TOOLTIP%"

"DOTA_Tooltip_ability_Kurumi_shard"											"Десятая пуля: Юд Юцудо"
"DOTA_Tooltip_ability_Kurumi_shard_Description"								"Выстреливает в противника, попавшая пуля запускает перезарядку всех способностей на %cooldown% сек., которые не находились на перезарядке"

"DOTA_Tooltip_Ability_special_bonus_birzha_kurumi_1" 						"Абсорбция восстанавливает здоровье"
"DOTA_Tooltip_Ability_special_bonus_birzha_kurumi_1_description" 			"Восстанавливает здоровье на {s:value}% от нанесенного урона"
"DOTA_Tooltip_Ability_special_bonus_birzha_kurumi_2" 						"+{s:value} урона Абсорбция"
"DOTA_Tooltip_Ability_special_bonus_birzha_kurumi_3" 						"-{s:value} сек. перезарядки Абсорбция"
"DOTA_Tooltip_Ability_special_bonus_birzha_kurumi_4" 						"-{s:value} сек. перезарядки Неузвимость"
"DOTA_Tooltip_Ability_special_bonus_birzha_kurumi_5" 						"Неузвимость дает иммунитет к магии"
"DOTA_Tooltip_Ability_special_bonus_birzha_kurumi_6" 						"Седьмая пуля: Заин сквозь иммунитет к магии"	
"DOTA_Tooltip_ability_special_bonus_birzha_kurumi_7"						"-{s:value} сек. перезарядки Восьмая пуля, хет"
"DOTA_Tooltip_ability_special_bonus_birzha_kurumi_8"						"+{s:value} клон Восьмая пуля, хет"	

//=================================================================================================================
// Курияма // Girl
//=================================================================================================================

"npc_dota_hero_marci"	"Мирай Курияма"

"DOTA_Tooltip_ability_girl_blood_controll"												"Управление кровью"
"DOTA_Tooltip_ability_girl_blood_controll_Description"									"Выплескивает кровь, которая наносит урон врагам и замедляет их. Замедление также уменьшает исходящий урон"
"DOTA_Tooltip_ability_girl_blood_controll_health_cost"									"%СТОИМОСТЬ ЗДОРОВЬЯ:"
"DOTA_Tooltip_ability_girl_blood_controll_debuff_duration"								"ДЛИТЕЛЬНОСТЬ ЗАМЕДЛЕНИЯ:"
"DOTA_Tooltip_ability_girl_blood_controll_damage_reduced"								"%УМЕНЬШЕНИЕ УРОНА:"
"DOTA_Tooltip_ability_girl_blood_controll_movespeed"									"%ЗАМЕДЛЕНИЕ СКОРОСТИ ПЕРЕДВИЖЕНИЯ"
"DOTA_Tooltip_ability_girl_blood_controll_damage"										"УРОН:"
"DOTA_Tooltip_ability_girl_blood_controll_range"										"ДАЛЬНОСТЬ:"
"DOTA_Tooltip_ability_girl_blood_controll_lore"											"Данный герой создан благодаря <font color='#fffc00'>AroundSpitE</font>"

"DOTA_Tooltip_modifier_girl_blood_controll_debuff"										"Управление кровью"
"DOTA_Tooltip_modifier_girl_blood_controll_debuff_Description"							"Скорость передвижения уменьшена на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% и исходящий урон уменьшен на %dMODIFIER_PROPERTY_DAMAGEOUTGOING_PERCENTAGE%%%"

"DOTA_Tooltip_ability_girl_charge_of_attack"											"Техника фехтования"
"DOTA_Tooltip_ability_girl_charge_of_attack_Description"								"Устремляется в выбранную сторону. Если на пути оказался противник, то останавливается и наносит быстрые атаки по нему"
"DOTA_Tooltip_ability_girl_charge_of_attack_health_cost"								"%СТОИМОСТЬ ЗДОРОВЬЯ:"
"DOTA_Tooltip_ability_girl_charge_of_attack_attack_count"								"КОЛИЧЕСТВО АТАК:"
"DOTA_Tooltip_ability_girl_charge_of_attack_slow"										"%ЗАМЕДЛЕНИЕ СКОРОСТИ ПЕРЕДВИЖЕНИЯ ЦЕЛИ:"
"DOTA_Tooltip_ability_girl_charge_of_attack_duration"									"ДЛИТЕЛЬНОСТЬ ЗАМЕДЛЕНИЯ:"
"DOTA_Tooltip_ability_girl_charge_of_attack_lore"										"Данный герой создан благодаря <font color='#fffc00'>AroundSpitE</font>"

"DOTA_Tooltip_modifier_girl_charge_of_attack_debuff"									"Техника фехтования"
"DOTA_Tooltip_modifier_girl_charge_of_attack_debuff_Description"						"Скорость передвижения уменьшена на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%"

"DOTA_Tooltip_ability_girl_blood_of_blades"												"Лезвия из крови"
"DOTA_Tooltip_ability_girl_blood_of_blades_Description"									"Протыкает лезвиями из крови всех врагов в радиусе %radius%. Попавший в цель клинок наносит ей переодический урон в течении %duration% сек и его пассивные способности отключаются. Если цель выйдет за радиус способности, то она получит оставшийся урон, а Мирай восстановит себе здоровье от этого урона. "
"DOTA_Tooltip_ability_girl_blood_of_blades_health_cost"									"%СТОИМОСТЬ ЗДОРОВЬЯ:"
"DOTA_Tooltip_ability_girl_blood_of_blades_damage"										"ПОЛНЫЙ УРОН:"
"DOTA_Tooltip_ability_girl_blood_of_blades_lore"										"Данный герой создан благодаря <font color='#fffc00'>AroundSpitE</font>"

"DOTA_Tooltip_modifier_girl_blood_of_blades"											"Лезвия из крови"
"DOTA_Tooltip_modifier_girl_blood_of_blades_Description"								"Пассивные способности отключены и получает переодический урон. Выйдя из круга получит весь урон от способности и восстановит здоровье Мирай"

"DOTA_Tooltip_ability_girl_berserkers_mod"												"Berserk mode"
"DOTA_Tooltip_ability_girl_berserkers_mod_Description"									"Мирай входит в безумие, нанося себе урон в сек. В момент безумия получает дополнительный урон, который увеличивается за каждые %health_perc_bonus%%% от потерянного здоровья\n<h1>Бонус за убийство</h1>Убийство в безумии добавляет заряд крови, который увеличивает основной урон на %bonus_damage_stack%"
"DOTA_Tooltip_ability_girl_berserkers_mod_duration"										"ДЛИТЕЛЬНОСТЬ БЕЗУМИЯ:"
"DOTA_Tooltip_ability_girl_berserkers_mod_health_cost"									"%СТОИМОСТЬ ЗДОРОВЬЯ В СЕКУНДУ:"
"DOTA_Tooltip_ability_girl_berserkers_mod_bonus_movespeed"								"%ДОП. СКОРОСТЬ ПЕРЕДВИЖЕНИЯ:"
"DOTA_Tooltip_ability_girl_berserkers_mod_bonus_damage_base"							"БАЗОВЫЙ ДОП. УРОН:"
"DOTA_Tooltip_ability_girl_berserkers_mod_health_damage_bonus"							"ДОП. УРОН ЗА ПОТЕРЯННОЕ ЗДОРОВЬЕ:"
"DOTA_Tooltip_ability_girl_berserkers_mod_lore"											"Данный герой создан благодаря <font color='#fffc00'>AroundSpitE</font>"

"DOTA_Tooltip_modifier_girl_berserkers_mod"												"Berserk mode"
"DOTA_Tooltip_modifier_girl_berserkers_mod_Description"									"Урон увеличен на %dMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE% и скорость передвижения увеличена на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%"

"DOTA_Tooltip_modifier_girl_berserkers_mod_passive"										"Berserk mode"
"DOTA_Tooltip_modifier_girl_berserkers_mod_passive_Description"							"Урон навсегда увеличен на %dMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE%"

"DOTA_Tooltip_ability_girl_charge_of_attack_scepter_description"						"Во время способности имеет неуязвимость"
"DOTA_Tooltip_ability_girl_blood_of_blades_shard_description"							"Радиус увеличивается до %radius_shard% и перезарядка уменьшается на %cooldown_shard% сек."

"DOTA_Tooltip_Ability_special_bonus_birzha_girl_1"										"+{s:value} к дальности Управление кровью"
"DOTA_Tooltip_Ability_special_bonus_birzha_girl_2"										"+{s:value} к дальности Техника Фехтования"
"DOTA_Tooltip_Ability_special_bonus_birzha_girl_3"										"+{s:value} урона от Управление кровью"
"DOTA_Tooltip_Ability_special_bonus_birzha_girl_4"										"+{s:value} к длительности Управление кровью"
"DOTA_Tooltip_Ability_special_bonus_birzha_girl_5"										"-{s:value}% стоимости здоровья у способностей"
"DOTA_Tooltip_Ability_special_bonus_birzha_girl_6"										"Управление кровью наносит чистый урон"
"DOTA_Tooltip_Ability_special_bonus_birzha_girl_7"										"Berserk mode увеличивает скороость атаки"
"DOTA_Tooltip_Ability_special_bonus_birzha_girl_7_Description"							"Увеличивает скорость атаки на {s:value} за каждые {s:value2}% потерянного здоровья"
"DOTA_Tooltip_Ability_special_bonus_birzha_girl_8"										"Удвоение полученного урона Berserk mode"

//=================================================================================================================
// Willow | Monika | Моника
//=================================================================================================================

"npc_dota_hero_dark_willow" "Моника"

"DOTA_Tooltip_Ability_monika_omniper" 								"Локальная вездесущность"
"DOTA_Tooltip_Ability_monika_omniper_Description" 					"Моника телепортируется в указанную точку, если перед ней находился враг, то он получает урон и оглушение на %stun_duration% сек."
"DOTA_Tooltip_Ability_monika_omniper_range" 						"ДАЛЬНОСТЬ ТЕЛЕПОРТАЦИИ:"
"DOTA_Tooltip_Ability_monika_omniper_damage" 						"УРОН:"
"DOTA_Tooltip_Ability_monika_omniper_lore"							"Данный герой создан благодаря <font color='#fffc00'>Dim4ik</font>"
"DOTA_Tooltip_Ability_monika_omniper_scepter_description" 			"Способность концептуальный урон срабатывает на все цели способности"

"DOTA_Tooltip_Ability_monika_concept" 								"Концептуальный урон"
"DOTA_Tooltip_Ability_monika_concept_Description" 					"Каждая атака Моники имеет шанс призвать иллюзию, которая наносит дополнительный физический урон. Иллюзия пропадает сделав лишь одну атаку"
"DOTA_Tooltip_Ability_monika_concept_chance" 						"%ШАНС:"
"DOTA_Tooltip_Ability_monika_concept_illusion_damage" 				"ДОП. УРОН:"
"DOTA_Tooltip_Ability_monika_concept_lore"							"Данный герой создан благодаря <font color='#fffc00'>Dim4ik</font>"
"DOTA_Tooltip_Ability_monika_concept_shard_description" 			"Создает иллюзию, которая наносит магический урон и создает иллюзию, которая наносит чистый урон"

"DOTA_Tooltip_Ability_monika_fourthwall" 							"Разрушение четвертой стены"
"DOTA_Tooltip_Ability_monika_fourthwall_Description" 				"Моника может управлять игрой. Изменяет атрибуты силы в атрибуты ловкости. Также даёт постоянный бонус к ловкости"
"DOTA_Tooltip_Ability_monika_fourthwall_interval" 					"ИНТЕРВАЛ:"
"DOTA_Tooltip_Ability_monika_fourthwall_bonus_agility" 				"ДОП. ЛОВКОСТЬ:"
"DOTA_Tooltip_Ability_monika_fourthwall_lore"						"Данный герой создан благодаря <font color='#fffc00'>Dim4ik</font>"

"DOTA_Tooltip_Ability_monika_fourthwall_two" 						"Разрушение четвертой стены"
"DOTA_Tooltip_Ability_monika_fourthwall_two_Description" 			"Моника может управлять игрой. Изменяет атрибуты ловкости в атрибуты силы"
"DOTA_Tooltip_Ability_monika_fourthwall_two_interval" 				"ИНТЕРВАЛ:"
"DOTA_Tooltip_Ability_monika_fourthwall_two_lore"					"Данный герой создан благодаря <font color='#fffc00'>Dim4ik</font>"

"DOTA_Tooltip_Ability_monika_perception" 							"Восприятие информации"
"DOTA_Tooltip_Ability_monika_perception_Description" 				"Моника способна находить героев и оказывать на них воздействие. Телепортирует себя или союзного героя в любую точку карты, в точке телепортации наносит урон всем противникам в радиусе %radius%"
"DOTA_Tooltip_Ability_monika_perception_damage" 					"УРОН:"
"DOTA_Tooltip_Ability_monika_perception_duration" 					"ДЛИТЕЛЬНОСТЬ:"
"DOTA_Tooltip_Ability_monika_perception_lore"						"Данный герой создан благодаря <font color='#fffc00'>Dim4ik</font>"

"DOTA_Tooltip_Ability_monika_perception_teleport" 					"Восприятие информации"
"DOTA_Tooltip_Ability_monika_perception_teleport_Description" 		"Телепортирует цель в указанную точку"

"DOTA_Tooltip_modifier_monika_ult_casted" 							"Восприятие информации"

"DOTA_Tooltip_modifier_monika_ult_casted_debuff" 					"Восприятие информации"
"DOTA_Tooltip_modifier_monika_ult_casted_debuff_description" 		"Не может атаковать"

"Dota_Tooltip_Ability_special_bonus_birzha_monika_1" 				"-{s:value} сек. перезарядки Локальная вездесущность"
"Dota_Tooltip_Ability_special_bonus_birzha_monika_2" 				"+{s:value} дальность Локальная вездесущность"
"Dota_Tooltip_Ability_special_bonus_birzha_monika_3" 				"+{s:value}% шанс Концептуальный урон"
"Dota_Tooltip_Ability_special_bonus_birzha_monika_4" 				"Разрушение четвертой стены в оглушении"
"Dota_Tooltip_Ability_special_bonus_birzha_monika_5" 				"+{s:value} урона Концептуальный урон"
"Dota_Tooltip_Ability_special_bonus_birzha_monika_6" 				"Восприятие информации накладывает обезоруживание на {s:value} сек."
"DOTA_Tooltip_ability_special_bonus_birzha_monika_7" 				"Локальная вездесущность восстанавливает здоровье"
"DOTA_Tooltip_ability_special_bonus_birzha_monika_7_description" 	"Восстанавливает потерянное за последние {s:value} сек. здоровье"
"DOTA_Tooltip_ability_special_bonus_birzha_monika_8" 				"Концептуальный урон работает на иллюзиях"


//=================================================================================================================
// MetaGame
//=================================================================================================================

"npc_dota_hero_furion"																	"Metagame"

"DOTA_Tooltip_ability_metagame_shield"													"Лучший саппорт"
"DOTA_Tooltip_ability_metagame_shield_Description"										"Применяет сильное развеивание и дает щит, который увеличивает ловкость и увеличивает получаемую ловкость и сопротивление эффектам за каждый развеянный эффект"
"DOTA_Tooltip_ability_metagame_shield_duration"											"ДЛИТЕЛЬНОСТЬ:"
"DOTA_Tooltip_ability_metagame_shield_bonus_agility"									"ДОП. ЛОВКОСТЬ:"
"DOTA_Tooltip_ability_metagame_shield_bonus_resist"										"%ДОП. СОПРОТИВЛЕНИЕ ЭФФЕКТАМ:"
"DOTA_Tooltip_ability_metagame_shield_bonus_agility_per_effect"							"ДОП. ЛОВКОСТЬ ЗА РАЗВ. ЭФФЕКТ:"
"DOTA_Tooltip_ability_metagame_shield_bonus_resist_per_effect"							"%ДОП. СОПРОТИВЛЕНИЕ ЭФФЕКТАМ ЗА РАЗВ. ЭФФЕКТ:"
"DOTA_Tooltip_ability_metagame_shield_lore"												"Данный герой создан благодаря <font color='#fffc00'>ЕДРИТЬ ЕГО В КОРЕНЬ</font>"

"DOTA_Tooltip_ability_metagame_mmr"														"7K MMR"
"DOTA_Tooltip_ability_metagame_mmr_Description"											"Metagame получает самый высокий рейтинг и каждая атака наносит дополнительный магический урон. По окончанию способности, все вокруг героя получают оглушение"
"DOTA_Tooltip_ability_metagame_mmr_duration"											"ДЛИТЕЛЬНОСТЬ:"
"DOTA_Tooltip_ability_metagame_mmr_bonus_damage"										"ДОП. МАГИЧЕСКИЙ УРОН:"
"DOTA_Tooltip_ability_metagame_mmr_stun_duration"										"ДЛИТЕЛЬНОСТЬ ОГЛУШЕНИЯ:"
"DOTA_Tooltip_ability_metagame_mmr_radius"												"РАДИУС:"
"DOTA_Tooltip_ability_metagame_mmr_bonus_movespeed"										"%ДОП. СКОРОСТЬ ПЕРЕДВИЖЕНИЯ:"
"DOTA_Tooltip_ability_metagame_mmr_lore"												"Данный герой создан благодаря <font color='#fffc00'>ЕДРИТЬ ЕГО В КОРЕНЬ</font>"

"DOTA_Tooltip_ability_metagame_passive"													"Ебал твой рот"
"DOTA_Tooltip_ability_metagame_passive_Description"										"Любой кто атакует героя, получает дерево в лицо. Дерево наносит урон в радиусе %radius% и замедляет противников на %slow%%%. Урон равен урону от атак"
"DOTA_Tooltip_ability_metagame_passive_bonus_damage"									"%ДОП. УРОН:"
"DOTA_Tooltip_ability_metagame_passive_duration"										"ДЛИТЕЛЬНОСТЬ ЗАМЕДЛЕНИЯ:"
"DOTA_Tooltip_ability_metagame_passive_lore"											"Данный герой создан благодаря <font color='#fffc00'>ЕДРИТЬ ЕГО В КОРЕНЬ</font>"

"DOTA_Tooltip_ability_metagame_furion"													"По фарму чемпион"
"DOTA_Tooltip_ability_metagame_furion_Description"										"Metagame начинает петь свой лучший хит и стремительно наносить атаки. Совершив комбинацию атак, герой не может атаковать в течение %attack_cooldown% сек. При применении этой способности герой применяет на себя простое развеивание. Каждая %attack_per_impulse%-я атака создает импульс, который наносит урон противникам в радиусе %radius%. Любое убийство во время способности, дает дополнительное золото"
"DOTA_Tooltip_ability_metagame_furion_duration"											"ДЛИТЕЛЬНОСТЬ:"
"DOTA_Tooltip_ability_metagame_furion_charges_per_flurry"								"КОЛ-ВО АТАК:"
"DOTA_Tooltip_ability_metagame_furion_bonus_gold"										"ДОП. ЗОЛОТО:"
"DOTA_Tooltip_ability_metagame_furion_impulse_damage"									"УРОН ИМПУЛЬСА:"
"DOTA_Tooltip_ability_metagame_furion_lore"												"Данный герой создан благодаря <font color='#fffc00'>ЕДРИТЬ ЕГО В КОРЕНЬ</font>"

"DOTA_Tooltip_ability_metagame_shadow_blade"											"Лучший предмет"
"DOTA_Tooltip_ability_metagame_shadow_blade_Description"								"Metagame становится невидимым на %duration% сек. или до момента, когда он совершит атаку или применит способность. Невидимость нельзя никак раскрыть. Атака из невидимости наносит дополнительный урон"
"DOTA_Tooltip_ability_metagame_shadow_blade_damage"										"ДОП. УРОН:"
"DOTA_Tooltip_ability_metagame_shadow_blade_lore"										"Данный герой создан благодаря <font color='#fffc00'>ЕДРИТЬ ЕГО В КОРЕНЬ</font>"

"DOTA_Tooltip_modifier_metagame_shadow_blade"											"Лучший предмет"
"DOTA_Tooltip_modifier_metagame_shadow_blade_Description"								"Невидим"

"DOTA_Tooltip_modifier_metagame_passive_debuff"											"Ебал твой рот"
"DOTA_Tooltip_modifier_metagame_passive_debuff_Description"								"Скорость передвижения уменьшена на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%"

"DOTA_Tooltip_modifier_metagame_shield"													"Лучший саппорт"
"DOTA_Tooltip_modifier_metagame_shield_Description"										"Ловкость увеличена на %dMODIFIER_PROPERTY_STATS_AGILITY_BONUS% и сопротивление эффектам на %dMODIFIER_PROPERTY_STATUS_RESISTANCE_STACKING%%%"
		
"DOTA_Tooltip_modifier_metagame_mmr"													"7K MMR"
"DOTA_Tooltip_modifier_metagame_mmr_Description"										"Атаки наносят дополнительный магический урон и скорость передвижения увеличена на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%. По окончанию противники вокруг вас получат оглушение"

"DOTA_Tooltip_modifier_metagame_furion_silence"											"По фарму чемпион"
"DOTA_Tooltip_modifier_metagame_furion_silence_Description"								"Не может использовать способности"
		
"DOTA_Tooltip_modifier_metagame_furion"													"По фарму чемпион"
"DOTA_Tooltip_modifier_metagame_furion_fury"											"По фарму чемпион"
"DOTA_Tooltip_modifier_metagame_furion_recovery"										"По фарму чемпион"

"DOTA_Tooltip_ability_metagame_mmr_shard_description"									"Увеличивает скорость срабатывания в 2 раза"

"DOTA_Tooltip_Ability_special_bonus_birzha_metagame_6"  								"Ебал твой рот оглушает на {s:value} сек."
"DOTA_Tooltip_Ability_special_bonus_birzha_metagame_7"  								"-{s:value} сек. задержки между атаками По фарму чемпион"
"DOTA_Tooltip_Ability_special_bonus_birzha_metagame_8"  								"По фарму чемпион накладывает безмолвие на {s:value} сек."
"DOTA_Tooltip_Ability_special_bonus_birzha_metagame_2"  								"-{s:value} сек. перезарядки Ебал твой рот"
"DOTA_Tooltip_Ability_special_bonus_birzha_metagame_3"  								"-{s:value} сек. перезарядки 7k MMR"
"DOTA_Tooltip_Ability_special_bonus_birzha_metagame_1"  								"+{s:value}% сопротивления эффектам Лучший саппорт"
"DOTA_Tooltip_Ability_special_bonus_birzha_metagame_4"  								"+{s:value} к ловкости Лучший саппорт"	
"DOTA_Tooltip_Ability_special_bonus_birzha_metagame_5"  								"-{s:value} сек. перезарядки Лучший саппорт"

//=================================================================================================================
// Соник
//=================================================================================================================

"npc_dota_hero_sonic"	"Sonic"

"DOTA_Tooltip_ability_sonic_dash"														"Рывок вперед"
"DOTA_Tooltip_ability_sonic_dash_Description"											"Делает рывок в ту сторону, которую смотрит. Наносит урон и оглушает всех врагов на пути<br><br>Скорость способности зависит от скорости передвижения + %bonus_movespeed_dash%"
"DOTA_Tooltip_ability_sonic_dash_damage_from_movespeed"									"%УРОН ОТ СКОРОСТИ ПЕРЕДВИЖЕНИЯ:"
"DOTA_Tooltip_ability_sonic_dash_range"													"ДАЛЬНОСТЬ:"
"DOTA_Tooltip_ability_sonic_dash_stun_duration"											"ДЛИТЕЛЬНОСТЬ ОГЛУШЕНИЯ:"
"DOTA_Tooltip_ability_sonic_dash_lore"													"Данный герой создан благодаря <font color='#fffc00'>Пельмень</font>"

"DOTA_Tooltip_ability_sonic_crash"														"Прыжок"
"DOTA_Tooltip_ability_sonic_crash_Description"											"Соник совершает прыжок вперед, ударяясь об землю своими шипами, которые создают волну в месте удара. Волна наносит урон от скорости передвижения Соника"
"DOTA_Tooltip_ability_sonic_crash_damage_from_movespeed"								"%УРОН ОТ СКОРОСТИ ПЕРЕДВИЖЕНИЯ:"
"DOTA_Tooltip_ability_sonic_crash_radius"												"РАДИУС:"
"DOTA_Tooltip_ability_sonic_crash_lore"													"Данный герой создан благодаря <font color='#fffc00'>Пельмень</font>"

"DOTA_Tooltip_ability_sonic_gottagofast"												"Gotta go fast"
"DOTA_Tooltip_ability_sonic_gottagofast_Description"									"Соник получает ускорение на некоторое время"
"DOTA_Tooltip_ability_sonic_gottagofast_duration"										"ДЛИТЕЛЬНОСТЬ:"
"DOTA_Tooltip_ability_sonic_gottagofast_bonus_movespeed"								"ДОП. СКОРОСТЬ ПЕРЕДВИЖЕНИЯ:"
